Country,Oil,Coal,Cement,Gas,Flaring,Other Industry
Afghanistan,7011070,3843091,16345,149711,0,0
Africa,565198340,400078270,85006930,312629730,55825988,0
Albania,2928336,788590,1311795,115008,549,0
Algeria,59965850,688810,9554980,92545500,15377626,0
Andorra,415659,0,0,8215,0,0
Angola,14120303,0,1201228,2005809.1,3453200,0
Anguilla,144530,0,0,0,0,0
Antarctica,0,0,0,0,0,0
Antigua and Barbuda,644826,0,0,0,0,0
Argentina,93741590,4106394.8,4852745,91051420,2053813,0
Armenia,1565569,40706,492318,5509729,0,0
Aruba,867180,0,0,0,0,0
Asia,4960211500,12787506000,1253872800,3277030100,120066370,201535140
Asia (excl. China and India),2599585800,2204650000,358629280,2329827600,112705010,29996256
Australia,141596460,142666500,2818200,74635730,17139768,4115347
Austria,30732654,10891721,1831572,13831669,80240,1210193
Azerbaijan,12448075,0,1081383,29752908,654606,0
Bahamas,2501482,3870,0,0,0,0
Bahrain,3133812,0,213049,33000900,179003,0
Bangladesh,31795650,23905314,1513770,56181348,30789,0
Barbados,1045064,0,105852,29831,10992,0
Belarus,16542122,4393960,2238874,32358520,6382,950911
Belgium,39715100,10158800,2456034,29334878,111066,1592600
Belize,662756,0,0,0,5141,0
Benin,4613661,289304,362828,326524,0,0
Bermuda,522532,0,0,0,0,0
Bhutan,429327,845729,438004,0,0,0
Bolivia,12735800,21279,1568342,8957538,76446,0
Bonaire Sint Eustatius and Saba,114883,0,0,0,0,0
Bosnia and Herzegovina,4920504,14309197,419568,529860,0,0
Botswana,2930253,3783306,0,0,0,0
Brazil,326432160,54848320,24963358,56329260,17505000,6392000
British Virgin Islands,185295,0,0,0,0,0
Brunei,3380953,3109297,0,5065809,213540,0
Bulgaria,13459064,14885241,1068852,4804770,562522,1313149
Burkina Faso,5008604,0,1177979,0,0,0
Burundi,653299,53859,2542,0,0,0
Cambodia,9851531,4440076,5886834,0,0,0
Cameroon,5803215,0,1743719,1141493,1252980,0
Canada,248852900,36769324,6751512,237269170,17494760,2161357
Cape Verde,534969,0,0,0,0,0
Central African Republic,281213,0,0,0,0,0
Chad,2484049,0,197621,0,397719,0
Chile,49389944,14492830,976303,12423090,5539,0
China,1642826800,8550844000,718017000,814783000,4493834,171538880
Christmas Island,0,0,0,0,0,0
Colombia,60090012,16001608,6046494,22497774,602775,0
Comoros,448731,0,0,0,0,0
Congo,2569265,0,309994,1654122,3140959,0
Cook Islands,72832,0,0,0,0,0
Costa Rica,7857255,43788,377991,0,0,0
Cote d'Ivoire,8900595,0,0,4227808,67197,0
Croatia,9770221,1336470,1202891,4744472,283923,186105
Cuba,20675210,15480,367732,1926247,112766,0
Curacao,2023421,0,0,0,0,0
Cyprus,6161895,111668,879605,271,0,20781
Czechia,22957282,44852984,1846967,14327644,44280,1595023
Democratic Republic of Congo,3728203,70735,604489,0,212526,0
Denmark,19318730,2765814,1073483,3601702,94934,410116
Djibouti,353046,0,139497,0,0,0
Dominica,163060,0,0,0,0,0
Dominican Republic,17921728,7376031,2519942,4201945,0,0
